Poste;club;Nom;Age;min;Buts encaissés;Column7;Lien direct
;Union St.Gilloise;Sofiane Boufal;32;1041;3;1;https://www.fotmob.com/fr/players/365672/sofiane-boufal
;Torino;Zakaria Aboukhlal;25;508;;;https://www.fotmob.com/fr/players/846761/zakaria-aboukhlal
;Ajax;Rayane Bounida;19;790;4;1;https://www.fotmob.com/fr/players/1699296/rayane-bounida
;MAS;Soufiane Benjdida;24;1574;;16;https://www.fotmob.com/fr/players/1334889/soufiane-benjdida
;Troyes;Tawfik Bentayeb;24;1883;3;18;https://www.fotmob.com/fr/players/1436306/tawfik-bentayeb
;Estoril;Yanis Begraoui;24;2546;1;20;https://www.fotmob.com/fr/players/933639/yanis-begraoui
;Al Shabab;Abderrazak Hamdallah;35;1210;2;6;https://www.fotmob.com/fr/players/422288/abderrazak-hamdallah
;;;;;;;
;;AGE Moyene;26;;;;
;;min de jeu moy;600;;;;
